photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030531308000.jpg,1室1厅1卫,32.3㎡,29411元,东,0,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030538304625.jpg,1室1厅1卫,44.6㎡,29596元,西,1,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030538304625.jpg,2室1厅1卫,51.5㎡,29126元,南,2,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030541216520.jpg,3室1厅1卫,65.8㎡,26595元,东,3,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030544497760.jpg,3室2厅1卫,71.0㎡,30281元,东,4,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030547567816.jpg,3室2厅1卫,87.5㎡,32000元,南,5,2281
https://img.0756fang.com/Upload/Dictionary/2022-10/202210030554398804.jpg,3室2厅2卫,103.5㎡,31400元,南,6,2281
https://img.0756fang.com/Upload/Dictionary/2021-06/s7E42B6F36D304418BFBC890A218184E6.jpg,2室2厅1卫,66.0㎡,30303元,南,0,2159
https://img.0756fang.com/Upload/Dictionary/2021-06/sE22864D1A91C43CAB4139AF580AF722B.jpg,3室2厅1卫,82.0㎡,25609元,南,1,2159
https://img.0756fang.com/Upload/Dictionary/2022-04/202204090415007270.jpg,3室2厅2卫,89.0㎡,31235元,南,0,2258
https://img.0756fang.com/Upload/Dictionary/2022-04/202204090417356021.jpg,4室2厅2卫,105.0㎡,26666元,南北通,1,2258
https://img.0756fang.com/Upload/Dictionary/2022-04/202204091250192408.jpg,3室2厅2卫,89.0㎡,25280元,西南,0,2248
https://img.0756fang.com/Upload/Dictionary/2022-04/202204091256186625.jpg,4室2厅2卫,99.0㎡,26262元,南,1,2248
https://img.0756fang.com/Upload/Dictionary/2022-04/202204090101352770.jpg,3室2厅1卫,79.0㎡,25316元,南,2,2248
https://img.0756fang.com/Upload/Dictionary/2020-10/sF6AD1CDC427C4290A8DBF6EC0077272B.jpeg,3室2厅2卫,89.3㎡,26875元,东南,0,70
https://img.0756fang.com/Upload/Dictionary/2020-10/sC9CA8FEB7AD5408F94BF189F1B7CBDFB.jpeg,4室2厅2卫,110.6㎡,31193元,东南,1,70
https://img.0756fang.com/Upload/Dictionary/2022-04/202204151010463278.jpg,4室2厅3卫,151.1㎡,27796元,南北通,2,70
https://img.0756fang.com/Upload/Dictionary/2021-10/202110220427298466.jpeg,4室2厅3卫,248.0㎡,28225元,南北通,0,1165
https://img.0756fang.com/Upload/Dictionary/2021-10/202110230906071031.jpg,5室2厅4卫,305.0㎡,39344元,南北通,1,1165
https://img.0756fang.com/Upload/Dictionary/2021-10/202110230906071031.jpg,5室2厅4卫,305.0㎡,36065元,南北通,2,1165
https://img.0756fang.com/Upload/Dictionary/2021-09/210927105417A73DB09C782E4B52A593.jpg,0室0厅0卫,0.0㎡,0元,,0,2178
